tier,dataset,clip_id,config_id,config_fingerprint,no_fallback,suppress_nst,streaming_preset,align,merge_strategy,cpwer,wer,der,speaker_assignment_error_rate,runtime_s,whisper_s,sortformer_s,align_s,merge_s,git_sha,started_at,host,hypothesis_path,diff_path
1,AMI,AMI:ES2004d,bde54767d27f,bde54767d27f,True,False,low_lat,True,prob_based,1.0865006553079948,0.8899082568807339,0.5862265224815025,0.19659239842726084,0.012943744659423828,-1.0,-1.0,-1.0,0.00030803680419921875,12acb8f,1778668025.542529,device-103.home,transcripts/tier-1/AMI_ES2004d/bde54767d27f.json,diffs/tier-1/AMI_ES2004d/bde54767d27f.json
1,AMI,AMI:ES2004d,59a91110ca43,59a91110ca43,True,False,low_lat,False,hard_boundary,0.8650065530799476,0.8899082568807339,0.31986340352874215,0.0,0.04316592216491699,-1.0,-1.0,-1.0,0.009527921676635742,12acb8f,1778668025.555521,device-103.home,transcripts/tier-1/AMI_ES2004d/59a91110ca43.json,diffs/tier-1/AMI_ES2004d/59a91110ca43.json
1,AMI,AMI:ES2004d,0e045d985b31,0e045d985b31,True,False,low_lat,False,prob_based,1.0838794233289646,0.8899082568807339,0.6011057809578014,0.19397116644823065,0.02008199691772461,-1.0,-1.0,-1.0,0.0003387928009033203,12acb8f,1778668025.598737,device-103.home,transcripts/tier-1/AMI_ES2004d/0e045d985b31.json,diffs/tier-1/AMI_ES2004d/0e045d985b31.json
1,AMI,AMI:ES2004d,a89a597836cc,a89a597836cc,False,True,very_high_lat,True,hard_boundary,0.8191349934469201,0.8676277850589778,0.240100821204976,0.0,54.14456391334534,47.47231602668762,-1.0,6.625724792480469,0.009080886840820312,12acb8f,1778668025.618874,device-103.home,transcripts/tier-1/AMI_ES2004d/a89a597836cc.json,diffs/tier-1/AMI_ES2004d/a89a597836cc.json
1,AMI,AMI:ES2004d,bca049abf95b,bca049abf95b,False,True,very_high_lat,True,prob_based,1.1061598951507208,0.8676277850589778,0.5862265224815025,0.23853211009174302,0.013117074966430664,-1.0,-1.0,-1.0,0.00031495094299316406,12acb8f,1778668079.763645,device-103.home,transcripts/tier-1/AMI_ES2004d/bca049abf95b.json,diffs/tier-1/AMI_ES2004d/bca049abf95b.json
1,AMI,AMI:ES2004d,1d141c3366a3,1d141c3366a3,False,True,very_high_lat,False,hard_boundary,0.8243774574049804,0.8676277850589778,0.29949589397511994,0.0,0.04267072677612305,-1.0,-1.0,-1.0,0.009041070938110352,12acb8f,1778668079.776812,device-103.home,transcripts/tier-1/AMI_ES2004d/1d141c3366a3.json,diffs/tier-1/AMI_ES2004d/1d141c3366a3.json
1,AMI,AMI:ES2004d,bb4f8c463383,bb4f8c463383,False,True,very_high_lat,False,prob_based,1.1035386631716908,0.8676277850589778,0.6011057809578014,0.23591087811271305,0.020467281341552734,-1.0,-1.0,-1.0,0.00036406517028808594,12acb8f,1778668079.8195379,device-103.home,transcripts/tier-1/AMI_ES2004d/bb4f8c463383.json,diffs/tier-1/AMI_ES2004d/bb4f8c463383.json
1,AMI,AMI:ES2004d,b83f7500d7bb,b83f7500d7bb,False,True,low_lat,True,hard_boundary,0.8335517693315858,0.8676277850589778,0.24774371900154485,0.0,0.04418301582336426,-1.0,-1.0,-1.0,0.009578943252563477,12acb8f,1778668079.8400588,device-103.home,transcripts/tier-1/AMI_ES2004d/b83f7500d7bb.json,diffs/tier-1/AMI_ES2004d/b83f7500d7bb.json
1,AMI,AMI:ES2004d,93c747d5aae0,93c747d5aae0,False,True,low_lat,True,prob_based,1.1061598951507208,0.8676277850589778,0.5862265224815025,0.23853211009174302,0.013011932373046875,-1.0,-1.0,-1.0,0.0003159046173095703,12acb8f,1778668079.8843021,device-103.home,transcripts/tier-1/AMI_ES2004d/93c747d5aae0.json,diffs/tier-1/AMI_ES2004d/93c747d5aae0.json
1,AMI,AMI:ES2004d,9189b9017d83,9189b9017d83,False,True,low_lat,False,hard_boundary,0.8519003931847968,0.8676277850589778,0.30925278477925033,0.0,0.04295802116394043,-1.0,-1.0,-1.0,0.00934600830078125,12acb8f,1778668079.897356,device-103.home,transcripts/tier-1/AMI_ES2004d/9189b9017d83.json,diffs/tier-1/AMI_ES2004d/9189b9017d83.json
1,AMI,AMI:ES2004d,87bf9a1654ca,87bf9a1654ca,False,True,low_lat,False,prob_based,1.1035386631716908,0.8676277850589778,0.6011057809578014,0.23591087811271305,0.02001500129699707,-1.0,-1.0,-1.0,0.000331878662109375,12acb8f,1778668079.940368,device-103.home,transcripts/tier-1/AMI_ES2004d/87bf9a1654ca.json,diffs/tier-1/AMI_ES2004d/87bf9a1654ca.json
1,AMI,AMI:ES2004d,238e8774a939,238e8774a939,False,False,very_high_lat,True,hard_boundary,0.8519003931847968,0.8781127129750983,0.2514838604764615,0.0,55.067543029785156,48.43198108673096,-1.0,6.588824987411499,0.009975194931030273,12acb8f,1778668079.960433,device-103.home,transcripts/tier-1/AMI_ES2004d/238e8774a939.json,diffs/tier-1/AMI_ES2004d/238e8774a939.json
1,AMI,AMI:ES2004d,b1cd916986cb,b1cd916986cb,False,False,very_high_lat,True,prob_based,1.1520314547837485,0.8781127129750983,0.5862265224815025,0.27391874180865017,0.013445138931274414,-1.0,-1.0,-1.0,0.00034308433532714844,12acb8f,1778668135.028223,device-103.home,transcripts/tier-1/AMI_ES2004d/b1cd916986cb.json,diffs/tier-1/AMI_ES2004d/b1cd916986cb.json
1,AMI,AMI:ES2004d,5afe800ff133,5afe800ff133,False,False,very_high_lat,False,hard_boundary,0.8715596330275229,0.8781127129750983,0.3114480852101797,0.0,0.04382896423339844,-1.0,-1.0,-1.0,0.00997614860534668,12acb8f,1778668135.041715,device-103.home,transcripts/tier-1/AMI_ES2004d/5afe800ff133.json,diffs/tier-1/AMI_ES2004d/5afe800ff133.json
1,AMI,AMI:ES2004d,18540c126f1b,18540c126f1b,False,False,very_high_lat,False,prob_based,1.1494102228047183,0.8781127129750983,0.6011057809578014,0.27129750982962,0.020621776580810547,-1.0,-1.0,-1.0,0.00037932395935058594,12acb8f,1778668135.0855942,device-103.home,transcripts/tier-1/AMI_ES2004d/18540c126f1b.json,diffs/tier-1/AMI_ES2004d/18540c126f1b.json
1,AMI,AMI:ES2004d,f44db96813eb,f44db96813eb,False,False,low_lat,True,hard_boundary,0.8741808650065531,0.8781127129750983,0.2615659809740629,0.0,0.04506492614746094,-1.0,-1.0,-1.0,0.010432958602905273,12acb8f,1778668135.106275,device-103.home,transcripts/tier-1/AMI_ES2004d/f44db96813eb.json,diffs/tier-1/AMI_ES2004d/f44db96813eb.json
1,AMI,AMI:ES2004d,3b68a4f080ac,3b68a4f080ac,False,False,low_lat,True,prob_based,1.1520314547837485,0.8781127129750983,0.5862265224815025,0.27391874180865017,0.013411998748779297,-1.0,-1.0,-1.0,0.0003299713134765625,12acb8f,1778668135.151387,device-103.home,transcripts/tier-1/AMI_ES2004d/3b68a4f080ac.json,diffs/tier-1/AMI_ES2004d/3b68a4f080ac.json
1,AMI,AMI:ES2004d,4cea41f7c122,4cea41f7c122,False,False,low_lat,False,hard_boundary,0.8925294888597641,0.8781127129750983,0.32429465810228475,0.014416775884665833,0.04483509063720703,-1.0,-1.0,-1.0,0.010432004928588867,12acb8f,1778668135.16485,device-103.home,transcripts/tier-1/AMI_ES2004d/4cea41f7c122.json,diffs/tier-1/AMI_ES2004d/4cea41f7c122.json
1,AMI,AMI:ES2004d,797280be0d6e,797280be0d6e,False,False,low_lat,False,prob_based,1.1494102228047183,0.8781127129750983,0.6011057809578014,0.27129750982962,0.02072286605834961,-1.0,-1.0,-1.0,0.0003788471221923828,12acb8f,1778668135.209737,device-103.home,transcripts/tier-1/AMI_ES2004d/797280be0d6e.json,diffs/tier-1/AMI_ES2004d/797280be0d6e.json
1,AMI,AMI:IS1009b,768907936886,768907936886,True,True,very_high_lat,True,hard_boundary,0.8396946564885496,0.8447837150127226,0.3107977508346512,0.0,45.506267070770264,34.68577289581299,4.145847797393799,6.6208131313323975,0.007895708084106445,12acb8f,1778668135.230517,device-103.home,transcripts/tier-1/AMI_IS1009b/768907936886.json,diffs/tier-1/AMI_IS1009b/768907936886.json
1,AMI,AMI:IS1009b,065f47499363,065f47499363,True,True,very_high_lat,True,prob_based,0.8905852417302799,0.8447837150127226,0.4447373045159023,0.04580152671755722,4.303258895874023,-1.0,4.274763107299805,-1.0,0.0017333030700683594,12acb8f,1778668180.737057,device-103.home,transcripts/tier-1/AMI_IS1009b/065f47499363.json,diffs/tier-1/AMI_IS1009b/065f47499363.json
1,AMI,AMI:IS1009b,01ee7b58523b,01ee7b58523b,True,True,very_high_lat,False,hard_boundary,0.8409669211195929,0.8447837150127226,0.2933579335793358,0.0,0.05153703689575195,-1.0,-1.0,-1.0,0.009307861328125,12acb8f,1778668185.040381,device-103.home,transcripts/tier-1/AMI_IS1009b/01ee7b58523b.json,diffs/tier-1/AMI_IS1009b/01ee7b58523b.json
1,AMI,AMI:IS1009b,080385390802,080385390802,True,True,very_high_lat,False,prob_based,0.8905852417302799,0.8447837150127226,0.444913020558777,0.04580152671755722,0.02355480194091797,-1.0,-1.0,-1.0,0.00047898292541503906,12acb8f,1778668185.091983,device-103.home,transcripts/tier-1/AMI_IS1009b/080385390802.json,diffs/tier-1/AMI_IS1009b/080385390802.json
1,AMI,AMI:IS1009b,ae6d54d80beb,ae6d54d80beb,True,True,low_lat,True,hard_boundary,0.8435114503816794,0.8447837150127226,0.27293094359515024,0.0,97.20779705047607,-1.0,97.16204905509949,-1.0,0.008232355117797852,12acb8f,1778668185.115597,device-103.home,transcripts/tier-1/AMI_IS1009b/ae6d54d80beb.json,diffs/tier-1/AMI_IS1009b/ae6d54d80beb.json
1,AMI,AMI:IS1009b,7df0d94e2737,7df0d94e2737,True,True,low_lat,True,prob_based,0.8905852417302799,0.8447837150127226,0.4447373045159023,0.04580152671755722,94.34785795211792,-1.0,94.3235330581665,-1.0,0.0005156993865966797,12acb8f,1778668282.32345,device-103.home,transcripts/tier-1/AMI_IS1009b/7df0d94e2737.json,diffs/tier-1/AMI_IS1009b/7df0d94e2737.json
1,AMI,AMI:IS1009b,fbd9778bbf67,fbd9778bbf67,True,True,low_lat,False,hard_boundary,0.8396946564885496,0.8447837150127226,0.2908539799683711,0.0,0.04548192024230957,-1.0,-1.0,-1.0,0.00829005241394043,12acb8f,1778668376.67136,device-103.home,transcripts/tier-1/AMI_IS1009b/fbd9778bbf67.json,diffs/tier-1/AMI_IS1009b/fbd9778bbf67.json
1,AMI,AMI:IS1009b,e669da04bf54,e669da04bf54,True,True,low_lat,False,prob_based,0.8905852417302799,0.8447837150127226,0.444913020558777,0.04580152671755722,0.02161407470703125,-1.0,-1.0,-1.0,0.00041294097900390625,12acb8f,1778668376.716896,device-103.home,transcripts/tier-1/AMI_IS1009b/e669da04bf54.json,diffs/tier-1/AMI_IS1009b/e669da04bf54.json
1,AMI,AMI:IS1009b,22cac2807bf1,22cac2807bf1,True,False,very_high_lat,True,hard_boundary,0.8384223918575063,0.8473282442748091,0.3107977508346512,0.0,41.48145890235901,34.66521716117859,-1.0,6.768867015838623,0.007789134979248047,12acb8f,1778668376.738579,device-103.home,transcripts/tier-1/AMI_IS1009b/22cac2807bf1.json,diffs/tier-1/AMI_IS1009b/22cac2807bf1.json
1,AMI,AMI:IS1009b,3c18126dc80e,3c18126dc80e,True,False,very_high_lat,True,prob_based,0.8931297709923665,0.8473282442748091,0.4447373045159023,0.04580152671755733,0.022834062576293945,-1.0,-1.0,-1.0,0.00043487548828125,12acb8f,1778668418.220366,device-103.home,transcripts/tier-1/AMI_IS1009b/3c18126dc80e.json,diffs/tier-1/AMI_IS1009b/3c18126dc80e.json
1,AMI,AMI:IS1009b,dfa48ed5f102,dfa48ed5f102,True,False,very_high_lat,False,hard_boundary,0.8396946564885496,0.8473282442748091,0.2941925847829907,0.0,0.0431981086730957,-1.0,-1.0,-1.0,0.007708311080932617,12acb8f,1778668418.243257,device-103.home,transcripts/tier-1/AMI_IS1009b/dfa48ed5f102.json,diffs/tier-1/AMI_IS1009b/dfa48ed5f102.json
1,AMI,AMI:IS1009b,80916e6f39fd,80916e6f39fd,True,False,very_high_lat,False,prob_based,0.8931297709923665,0.8473282442748091,0.444913020558777,0.04580152671755733,0.021435976028442383,-1.0,-1.0,-1.0,0.00040602684020996094,12acb8f,1778668418.286507,device-103.home,transcripts/tier-1/AMI_IS1009b/80916e6f39fd.json,diffs/tier-1/AMI_IS1009b/80916e6f39fd.json
1,AMI,AMI:IS1009b,c291c805a5fe,c291c805a5fe,True,False,low_lat,True,hard_boundary,0.8422391857506362,0.8473282442748091,0.27293094359515024,0.0,0.04442596435546875,-1.0,-1.0,-1.0,0.007998943328857422,12acb8f,1778668418.307998,device-103.home,transcripts/tier-1/AMI_IS1009b/c291c805a5fe.json,diffs/tier-1/AMI_IS1009b/c291c805a5fe.json
1,AMI,AMI:IS1009b,bde54767d27f,bde54767d27f,True,False,low_lat,True,prob_based,0.8931297709923665,0.8473282442748091,0.4447373045159023,0.04580152671755733,0.022644996643066406,-1.0,-1.0,-1.0,0.00040078163146972656,12acb8f,1778668418.3524742,device-103.home,transcripts/tier-1/AMI_IS1009b/bde54767d27f.json,diffs/tier-1/AMI_IS1009b/bde54767d27f.json
1,AMI,AMI:IS1009b,59a91110ca43,59a91110ca43,True,False,low_lat,False,hard_boundary,0.8384223918575063,0.8473282442748091,0.29182041820418203,0.0,0.04325509071350098,-1.0,-1.0,-1.0,0.007651805877685547,12acb8f,1778668418.375177,device-103.home,transcripts/tier-1/AMI_IS1009b/59a91110ca43.json,diffs/tier-1/AMI_IS1009b/59a91110ca43.json
1,AMI,AMI:IS1009b,0e045d985b31,0e045d985b31,True,False,low_lat,False,prob_based,0.8931297709923665,0.8473282442748091,0.444913020558777,0.04580152671755733,0.022418975830078125,-1.0,-1.0,-1.0,0.00040221214294433594,12acb8f,1778668418.418488,device-103.home,transcripts/tier-1/AMI_IS1009b/0e045d985b31.json,diffs/tier-1/AMI_IS1009b/0e045d985b31.json
1,AMI,AMI:IS1009b,a89a597836cc,a89a597836cc,False,True,very_high_lat,True,hard_boundary,0.8396946564885496,0.8447837150127226,0.3107977508346512,0.0,41.44353103637695,34.69875383377075,-1.0,6.694904088973999,0.00776219367980957,12acb8f,1778668418.440966,device-103.home,transcripts/tier-1/AMI_IS1009b/a89a597836cc.json,diffs/tier-1/AMI_IS1009b/a89a597836cc.json
1,AMI,AMI:IS1009b,bca049abf95b,bca049abf95b,False,True,very_high_lat,True,prob_based,0.8905852417302799,0.8447837150127226,0.4447373045159023,0.04580152671755722,0.022621870040893555,-1.0,-1.0,-1.0,0.00042700767517089844,12acb8f,1778668459.884671,device-103.home,transcripts/tier-1/AMI_IS1009b/bca049abf95b.json,diffs/tier-1/AMI_IS1009b/bca049abf95b.json
1,AMI,AMI:IS1009b,1d141c3366a3,1d141c3366a3,False,True,very_high_lat,False,hard_boundary,0.8409669211195929,0.8447837150127226,0.2933579335793358,0.0,0.04327583312988281,-1.0,-1.0,-1.0,0.007618904113769531,12acb8f,1778668459.907349,device-103.home,transcripts/tier-1/AMI_IS1009b/1d141c3366a3.json,diffs/tier-1/AMI_IS1009b/1d141c3366a3.json
1,AMI,AMI:IS1009b,bb4f8c463383,bb4f8c463383,False,True,very_high_lat,False,prob_based,0.8905852417302799,0.8447837150127226,0.444913020558777,0.04580152671755722,0.021321773529052734,-1.0,-1.0,-1.0,0.00040411949157714844,12acb8f,1778668459.950678,device-103.home,transcripts/tier-1/AMI_IS1009b/bb4f8c463383.json,diffs/tier-1/AMI_IS1009b/bb4f8c463383.json
1,AMI,AMI:IS1009b,b83f7500d7bb,b83f7500d7bb,False,True,low_lat,True,hard_boundary,0.8435114503816794,0.8447837150127226,0.27293094359515024,0.0,0.04423666000366211,-1.0,-1.0,-1.0,0.008091926574707031,12acb8f,1778668459.9720461,device-103.home,transcripts/tier-1/AMI_IS1009b/b83f7500d7bb.json,diffs/tier-1/AMI_IS1009b/b83f7500d7bb.json
